Injection,10,20,30,40,50,60,70,80,90,100
500,100,100,100,100,100,100,100,100,100,100
1000,100,100,100,100,100,100,100,100,100,100
2000,100,100,100,100,100,100,100,100,100,100
3000,100,100,100,100,100,100,100,100,100,100
4000,100,100,100,100,100,100,100,100,100,100
5000,100,100,100,100,100,100,100,100,100,100
6000,100,100,100,100,100,100,100,100,100,100
7000,100,100,100,100,100,100,100,100,100,100
8000,100,100,100,100,100,100,100,100,100,100
9000,100,100,100,100,100,100,100,100,100,100
10000,100,100,100,100,100,100,100,100,100,100
